"","State","Year","Event","Value"
"630","NH",1962,"Fatalities",0
"631","NJ",1962,"Fatalities",0
"632","NM",1962,"Fatalities",0
"633","NV",1962,"Fatalities",0
"634","NY",1962,"Fatalities",0
"635","OH",1962,"Fatalities",4
"636","OK",1962,"Fatalities",0
"637","OR",1962,"Fatalities",0
"638","PA",1962,"Fatalities",0
"639","RI",1962,"Fatalities",NA
"640","SC",1962,"Fatalities",0
"641","SD",1962,"Fatalities",0
"642","TN",1962,"Fatalities",0
"643","TX",1962,"Fatalities",1
"644","UT",1962,"Fatalities",0
"645","VA",1962,"Fatalities",2
"646","VT",1962,"Fatalities",0
"647","WA",1962,"Fatalities",0
"648","WI",1962,"Fatalities",0
"649","WV",1962,"Fatalities",0
"650","WY",1962,"Fatalities",0
"651","AK",1963,"Fatalities",NA
"652","AL",1963,"Fatalities",3
"653","AR",1963,"Fatalities",0
"654","AZ",1963,"Fatalities",0
"655","CA",1963,"Fatalities",NA
"656","CO",1963,"Fatalities",0
"657","CT",1963,"Fatalities",0
"658","DE",1963,"Fatalities",0
"659","FL",1963,"Fatalities",0
"660","GA",1963,"Fatalities",1
"661","HI",1963,"Fatalities",0
"662","IA",1963,"Fatalities",0
"663","ID",1963,"Fatalities",0
"664","IL",1963,"Fatalities",2
"665","IN",1963,"Fatalities",2
"666","KS",1963,"Fatalities",0
"667","KY",1963,"Fatalities",0
"668","LA",1963,"Fatalities",0
"669","MA",1963,"Fatalities",0
"670","MD",1963,"Fatalities",0
"671","ME",1963,"Fatalities",0
"672","MI",1963,"Fatalities",1
"673","MN",1963,"Fatalities",0
"674","MO",1963,"Fatalities",1
"675","MS",1963,"Fatalities",10
"676","MT",1963,"Fatalities",0
"677","NC",1963,"Fatalities",0
"678","ND",1963,"Fatalities",0
"679","NE",1963,"Fatalities",1
"680","NH",1963,"Fatalities",0
"681","NJ",1963,"Fatalities",0
"682","NM",1963,"Fatalities",0
"683","NV",1963,"Fatalities",0
"684","NY",1963,"Fatalities",0
"685","OH",1963,"Fatalities",0
"686","OK",1963,"Fatalities",1
"687","OR",1963,"Fatalities",0
"688","PA",1963,"Fatalities",2
"689","RI",1963,"Fatalities",NA
"690","SC",1963,"Fatalities",3
"691","SD",1963,"Fatalities",0
"692","TN",1963,"Fatalities",4
"693","TX",1963,"Fatalities",0
"694","UT",1963,"Fatalities",0
"695","VA",1963,"Fatalities",0
"696","VT",1963,"Fatalities",0
"697","WA",1963,"Fatalities",0
"698","WI",1963,"Fatalities",0
"699","WV",1963,"Fatalities",0
"700","WY",1963,"Fatalities",0
"701","AK",1964,"Fatalities",NA
"702","AL",1964,"Fatalities",12
"703","AR",1964,"Fatalities",1
"704","AZ",1964,"Fatalities",2
"705","CA",1964,"Fatalities",0
"706","CO",1964,"Fatalities",0
"707","CT",1964,"Fatalities",0
"708","DE",1964,"Fatalities",0
"709","FL",1964,"Fatalities",0
"710","GA",1964,"Fatalities",2
"711","HI",1964,"Fatalities",NA
"712","IA",1964,"Fatalities",1
"713","ID",1964,"Fatalities",0
"714","IL",1964,"Fatalities",0
"715","IN",1964,"Fatalities",0
"716","KS",1964,"Fatalities",4
"717","KY",1964,"Fatalities",3
"718","LA",1964,"Fatalities",22
"719","MA",1964,"Fatalities",0
"720","MD",1964,"Fatalities",0
"721","ME",1964,"Fatalities",0
"722","MI",1964,"Fatalities",11
"723","MN",1964,"Fatalities",0
"724","MO",1964,"Fatalities",2
"725","MS",1964,"Fatalities",0
"726","MT",1964,"Fatalities",0
"727","NC",1964,"Fatalities",0
"728","ND",1964,"Fatalities",0
"729","NE",1964,"Fatalities",4
"730","NH",1964,"Fatalities",0
"731","NJ",1964,"Fatalities",0
"732","NM",1964,"Fatalities",1
"733","NV",1964,"Fatalities",0
"734","NY",1964,"Fatalities",0
"735","OH",1964,"Fatalities",0
"736","OK",1964,"Fatalities",0
"737","OR",1964,"Fatalities",0
"738","PA",1964,"Fatalities",0
"739","RI",1964,"Fatalities",0
"740","SC",1964,"Fatalities",0
"741","SD",1964,"Fatalities",0
"742","TN",1964,"Fatalities",0
"743","TX",1964,"Fatalities",8
"744","UT",1964,"Fatalities",0
"745","VA",1964,"Fatalities",0
"746","VT",1964,"Fatalities",0
"747","WA",1964,"Fatalities",0
"748","WI",1964,"Fatalities",0
"749","WV",1964,"Fatalities",0
"750","WY",1964,"Fatalities",0
"751","AK",1965,"Fatalities",NA
"752","AL",1965,"Fatalities",0
"753","AR",1965,"Fatalities",6
"754","AZ",1965,"Fatalities",0
"755","CA",1965,"Fatalities",0
"756","CO",1965,"Fatalities",0
"757","CT",1965,"Fatalities",0
"758","DE",1965,"Fatalities",0
"759","FL",1965,"Fatalities",0
"760","GA",1965,"Fatalities",0
"761","HI",1965,"Fatalities",0
"762","IA",1965,"Fatalities",2
"763","ID",1965,"Fatalities",0
"764","IL",1965,"Fatalities",8
"765","IN",1965,"Fatalities",137
"766","KS",1965,"Fatalities",0
